00839017013170090017393110;17393110;cwb_1211_tam_1312260;2013-11-12;0003;839017;APTA VEIC E REPRESENTACOES COMERCIAIS LT;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01235525013170090017417778;17417778;cwb_1211_tam_1312260;2013-11-12;0003;1235525;APTA VEICULOS E REPRESENTACOES COMERCIAI;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00844681013170090017393129;17393129;cwb_1211_tam_1312260;2013-11-12;0003;844681;APTA VEIC E REPRESENTACOES COMERCIAIS LT;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01239676013170090017417784;17417784;cwb_1211_tam_1312260;2013-11-12;0003;1239676;PRIXX VEIC LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00831508013170090017415527;17415527;cwb_1211_tam_1312260;2013-11-12;0003;831508;PRIXX VEICULOS LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01196072013170090017417421;17417421;cwb_1211_tam_1312260;2013-11-12;0003;1196072;FREEDOM VEIC LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01337148013170090017418462;17418462;cwb_1211_tam_1312260;2013-11-12;0003;1337148;DIJON COM.DE VEICULOS LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00606540013170090017414966;17414966;cwb_1211_tam_1312260;2013-11-12;0003;606540;APTA VEIC E REPRESENTACOES COMERCIAIS LT;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01353813013170090017418515;17418515;cwb_1211_tam_1312260;2013-11-12;0003;1353813;CARWAY SUL VEICULOS LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00831689013170090017415534;17415534;cwb_1211_tam_1312260;2013-11-12;0003;831689;SERVOPA SA COM E IND;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01239666013170090017417783;17417783;cwb_1211_tam_1312260;2013-11-12;0003;1239666;SEVEC VEIC LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00835009013170090017393097;17393097;cwb_1211_tam_1312260;2013-11-12;0003;835009;APTA VEICULOS E REPRESENTACOES COM LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00831599013170090017415531;17415531;cwb_1211_tam_1312260;2013-11-12;0003;831599;PLAZA VEIC E SERV LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00831435013170090017415526;17415526;cwb_1211_tam_1312260;2013-11-12;0003;831435;SEVEC VEIC LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01337334013170090017418463;17418463;cwb_1211_tam_1312260;2013-11-12;0003;1337334;DIJON COM.DE VEICULOS LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00835486013170090017415543;17415543;cwb_1211_tam_1312260;2013-11-12;0003;835486;APTA VEIC E REPRESENTACOES COMERCIAIS LT;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01342659013170090017418481;17418481;cwb_1211_tam_1312260;2013-11-12;0003;1342659;VECODIL COMERCIO DE VEICULOS LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01178106013170090017417267;17417267;cwb_1211_tam_1312260;2013-11-12;0003;1178106;SERVOPA SA COM E IND;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01271555013170090017417946;17417946;cwb_1211_tam_1312260;2013-11-12;0003;1271555;DIJON COMERCIO DE VEICULOS LTDA;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
00835607013170090017393098;17393098;cwb_1211_tam_1312260;2013-11-12;0003;835607;APTA VEIC E REPRESENTACOES COMERCIAIS LT;R ROCKEFELLER 1118;;80230130;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01142236013170090017393336;17393336;cwb_1211_tam_1312260;2013-11-12;0003;1142236;AFIRMA CONSULTORIA E PROJ.DE ENG.LTDA;R DR. ALEXANDRE GUTIERREZ 528;;80240130;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
01119082013170090017385547;17385547;cwb_1211_tam_1312260;2013-11-12;0003;1119082;CLINICA EVANGELICO LTDA;R ACYR GUIMARAES 436;6 ANDAR;80240230;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
01118766013170090017385546;17385546;cwb_1211_tam_1312260;2013-11-12;0003;1118766;CL DE DOENCAS RENAIS LTDA;R ACYR GUIMARAES 436;6 ANDAR;80240230;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
01106126013170090017407050;17407050;cwb_1211_tam_1312260;2013-11-12;0003;1106126;DAJU COMERCIO DE TECIDOS LTDA;R ALM. GONCALVES 2486;;80250150;REBOUCAS;CURITIBA;PR;03103519000193;06327259000193; 
01206287013170090017391925;17391925;cwb_1211_tam_1312260;2013-11-12;0003;1206287;CMAG SOLUCOES EM RH LTDA;AV VSC. DE GUARAPUAVA 3530;;80250220;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01206287013170090017393422;17393422;cwb_1211_tam_1312260;2013-11-12;0003;1206287;CMAG SOLUCOES EM RH LTDA;AV VSC. DE GUARAPUAVA 3530;;80250220;CENTRO;CURITIBA;PR;03103519000193;06327259000193; 
01117713013170090017385543;17385543;cwb_1211_tam_1312260;2013-11-12;0003;1117713;PRO RENAL BRASIL FUNDACAO DE AMPARO A P;AV VICENTE MACHADO 2190;;80440020;BATEL;CURITIBA;PR;03103519000193;06327259000193; 
01117713013170090017383110;17383110;cwb_1211_tam_1312260;2013-11-12;0003;1117713;PRO RENAL BRASIL FUNDACAO DE AMPARO A P;AV VICENTE MACHADO 2190;;80440020;BATEL;CURITIBA;PR;03103519000193;06327259000193; 
00981809013170090017385397;17385397;cwb_1211_tam_1312260;2013-11-12;0003;981809;C K COMERCIO E SERVICO EM ELETROELETRONI;AV PRES KENNEDY 4121;S1 LOJA S07 C;80610010;AGUA VERDE;CURITIBA;PR;03103519000193;06327259000193; 
00631833013170090017382056;17382056;cwb_1211_tam_1312260;2013-11-12;0003;631833;HOSPITAL ISB LTDA;AV CANDIDO HARTMANN 2010;;80710570;MERCES;CURITIBA;PR;03103519000193;06327259000193; 
00631833013170090017385108;17385108;cwb_1211_tam_1312260;2013-11-12;0003;631833;HOSPITAL ISB LTDA;AV CANDIDO HARTMANN 2010;;80710570;MERCES;CURITIBA;PR;03103519000193;06327259000193; 
01269389013170090017385809;17385809;cwb_1211_tam_1312260;2013-11-12;0003;1269389;COMERCIO DISTRIBUIDOR DE MOVEIS LTDA;AV REPUBLICA ARGENTINA 4125;;81050000;NOVO MUNDO;CURITIBA;PR;03103519000193;06327259000193; 
01316189013170090017384045;17384045;cwb_1211_tam_1312260;2013-11-12;0003;1316189;DELPHINOS SRVS.DE GESTAO LTDA-EPP;R ALFREDO CONSTANTINO MORO 312;;81260430;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
01269792013170090017383770;17383770;cwb_1211_tam_1312260;2013-11-12;0003;1269792;COMERCIAL PARANAENSE DE MOVEIS LTDA;AV JUSCELINO KUBITSCHEK OLIVEIRA 4661;;81270200;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
01269792013170090017385813;17385813;cwb_1211_tam_1312260;2013-11-12;0003;1269792;COMERCIAL PARANAENSE DE MOVEIS LTDA;AV JUSCELINO KUBITSCHEK OLIVEIRA 4661;;81270200;CIDADE INDUSTRIAL;CURITIBA;PR;03103519000193;06327259000193; 
